nbCaseTotal;nbCaseI;nbCaseJ;probaPuit;nbPuit;nbFlecheInitial;scoreInitial;etatJeuFinal;nbTours;scoreFinal;nbCaseVisitee;wumpusMort;nbMouvement;nbMouvementBloque;nbTir;nbRamasse;nbAbandon;tempsMoyenObservationIA;tempsMoyenDecisionIA;
100;10;10;0.1;8;1;50;PERDU;97;-105;69;0;96;0;0;0;0;0.0;0.0;
100;10;10;0.1;9;1;50;GAGNE;51;51;39;0;49;0;0;1;0;0.0;0.0;
100;10;10;0.1;10;1;50;GAGNE;52;50;45;0;50;0;0;1;0;0.0;0.0;
100;10;10;0.1;12;1;50;PERDU;25;-33;17;0;24;0;0;0;0;0.0;0.0;
100;10;10;0.1;11;1;50;GAGNE;14;88;9;0;12;0;0;1;0;0.0;0.0;
100;10;10;0.1;13;1;50;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
100;10;10;0.1;10;1;50;PERDU;87;-95;60;0;86;0;0;0;0;0.0;0.0;
100;10;10;0.1;7;1;50;GAGNE;12;90;9;0;10;0;0;1;0;0.0;0.0;
100;10;10;0.1;10;1;50;PERDU;76;-84;51;0;75;0;0;0;0;0.0;0.0;
100;10;10;0.1;13;1;50;GAGNE;88;14;56;0;86;0;0;1;0;0.0;0.0;
100;10;10;0.1;11;1;50;PERDU;26;-34;18;0;25;0;0;0;0;0.0;0.0;
100;10;10;0.1;11;1;50;GAGNE;5;97;3;0;3;0;0;1;0;0.0;0.0;
100;10;10;0.1;14;1;50;PERDU;39;-47;26;0;38;0;0;0;0;0.0;0.0;
100;10;10;0.1;7;1;50;GAGNE;42;60;36;0;40;0;0;1;0;0.0;0.0;
100;10;10;0.1;6;1;50;GAGNE;78;24;65;0;76;0;0;1;0;0.0;0.0;
100;10;10;0.1;11;1;50;PERDU;84;-92;50;0;83;0;0;0;0;0.0;0.0;
100;10;10;0.1;10;1;50;PERDU;8;-16;5;0;7;0;0;0;0;0.0;0.0;
100;10;10;0.1;7;1;50;GAGNE;50;52;38;0;48;0;0;1;0;0.0;0.0;
100;10;10;0.1;7;1;50;GAGNE;112;-10;82;0;110;0;0;1;0;0.0;0.0;
100;10;10;0.1;6;1;50;PERDU;4;-12;3;0;3;0;0;0;0;0.0;0.0;
100;10;10;0.1;11;1;50;PERDU;51;-59;33;0;50;0;0;0;0;0.0;0.0;
100;10;10;0.1;10;1;50;PERDU;79;-87;53;0;78;0;0;0;0;0.0;0.0;
100;10;10;0.1;9;1;50;GAGNE;82;20;61;0;80;0;0;1;0;0.0;0.0;
100;10;10;0.1;15;1;50;GAGNE;79;23;51;0;77;0;0;1;0;0.0;0.0;
100;10;10;0.1;6;1;50;GAGNE;101;1;81;0;99;0;0;1;0;0.0;0.0;
100;10;10;0.1;19;1;50;PERDU;0;0;18;0;27;0;0;0;1;0.0;0.0;
100;10;10;0.1;11;1;50;GAGNE;15;87;12;0;13;0;0;1;0;0.0;0.0;
100;10;10;0.1;14;1;50;PERDU;8;-16;5;0;7;0;0;0;0;0.0;0.0;
100;10;10;0.1;9;1;50;GAGNE;6;96;4;0;4;0;0;1;0;0.0;0.0;
100;10;10;0.1;9;1;50;PERDU;97;-105;71;0;96;0;0;0;0;0.0;0.0;
100;10;10;0.1;11;1;50;GAGNE;69;33;46;0;67;0;0;1;0;0.0;0.0;
100;10;10;0.1;15;1;50;GAGNE;27;75;19;0;25;0;0;1;0;0.0;0.0;
100;10;10;0.1;10;1;50;GAGNE;65;37;51;0;63;0;0;1;0;0.0;0.0;
100;10;10;0.1;18;1;50;GAGNE;15;87;8;0;13;0;0;1;0;0.0;0.0;
100;10;10;0.1;15;1;50;PERDU;6;-14;4;0;5;0;0;0;0;0.0;0.0;
100;10;10;0.1;9;1;50;GAGNE;21;81;15;0;19;0;0;1;0;0.0;0.0;
100;10;10;0.1;12;1;50;GAGNE;7;95;4;0;5;0;0;1;0;0.0;0.0;
100;10;10;0.1;14;1;50;GAGNE;68;34;46;0;66;0;0;1;0;0.0;0.0;
100;10;10;0.1;13;1;50;PERDU;69;-77;42;0;68;0;0;0;0;0.0;0.0;
100;10;10;0.1;15;1;50;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
100;10;10;0.1;6;1;50;GAGNE;42;60;34;0;40;0;0;1;0;0.0;0.0;
100;10;10;0.1;15;1;50;PERDU;7;-15;5;0;6;0;0;0;0;0.0;0.0;
100;10;10;0.1;9;1;50;GAGNE;120;-18;84;0;118;0;0;1;0;0.0;0.0;
100;10;10;0.1;8;1;50;GAGNE;23;79;19;0;21;0;0;1;0;0.0;0.0;
100;10;10;0.1;13;1;50;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
100;10;10;0.1;18;1;50;PERDU;2;-10;1;0;1;0;0;0;0;0.0;0.0;
100;10;10;0.1;9;1;50;GAGNE;22;80;18;0;20;0;0;1;0;0.0;0.0;
100;10;10;0.1;7;1;50;GAGNE;105;-3;68;0;103;0;0;1;0;0.0;0.0;
100;10;10;0.1;15;1;50;PERDU;35;-43;23;0;34;0;0;0;0;0.0;0.0;
