nbCaseTotal;nbCaseI;nbCaseJ;probaPuit;nbPuit;nbFlecheInitial;scoreInitial;etatJeuFinal;nbTours;nbMaxTours;scoreFinal;nbCaseVisitee;wumpusMort;nbMouvement;nbMouvementBloque;nbTir;nbRamasse;nbAbandon;tempsMoyenObservationIA;tempsMoyenDecisionIA;
100;10;10;0.0;0;5;50;GAGNE;193;1000;-91;92;0;191;19;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;74;1000;28;38;0;72;7;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;149;1000;-47;72;0;147;15;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;84;1000;18;43;0;82;9;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;21;1000;81;16;0;19;3;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;55;1000;47;30;0;53;5;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;165;1000;-63;76;0;163;17;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;21;1000;81;16;0;19;3;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;191;1000;-89;90;0;189;19;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;68;1000;34;39;0;66;7;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;74;1000;28;38;0;72;7;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;150;1000;-48;73;0;148;15;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;69;1000;33;40;0;67;7;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;45;1000;57;28;0;43;5;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;127;1000;-25;62;0;125;13;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;143;1000;-41;66;0;141;15;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;52;1000;50;24;0;50;6;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;183;1000;-81;82;0;181;19;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;53;1000;49;28;0;51;5;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;105;1000;-3;52;0;103;11;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;25;1000;77;11;0;23;3;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;33;1000;69;19;0;31;3;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;46;1000;56;29;0;44;5;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;198;1000;-96;97;0;196;19;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;165;1000;-63;76;0;163;17;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;74;1000;28;38;0;72;7;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;108;1000;-6;55;0;106;11;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;170;1000;-68;81;0;168;17;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;51;1000;51;23;0;49;6;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;195;1000;-93;94;0;193;19;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;143;1000;-41;66;0;141;15;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;208;1000;-106;95;0;206;21;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;30;1000;72;25;0;28;3;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;120;1000;-18;55;0;118;13;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;10;1000;92;7;0;8;1;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;9;1000;93;6;0;7;1;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;53;1000;49;28;0;51;5;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;128;1000;-26;63;0;126;13;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;76;1000;26;40;0;74;7;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;51;1000;51;23;0;49;6;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;184;1000;-82;83;0;182;19;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;12;1000;90;8;0;10;2;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;47;1000;55;22;0;45;5;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;49;1000;53;21;0;47;6;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;88;1000;14;41;0;86;9;0;1;0;0.0;0.0;
