nbCaseTotal;nbCaseI;nbCaseJ;probaPuit;nbPuit;nbFlecheInitial;scoreInitial;etatJeuFinal;nbTours;nbMaxTours;scoreFinal;nbCaseVisitee;wumpusMort;nbMouvement;nbMouvementBloque;nbTir;nbRamasse;nbAbandon;tempsMoyenObservationIA;tempsMoyenDecisionIA;
100;10;10;0.0;0;5;50;GAGNE;36;1000;66;19;0;34;5;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;170;1000;-68;81;0;168;17;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;114;1000;-12;56;0;112;11;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;104;1000;-2;51;0;102;11;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;31;1000;71;17;0;29;3;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;153;1000;-51;76;0;151;15;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;14;1000;88;10;0;12;2;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;50;1000;52;25;0;48;5;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;101;1000;1;48;0;99;11;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;85;1000;17;44;0;83;9;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;68;1000;34;39;0;66;7;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;70;1000;32;41;0;68;7;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;74;1000;28;38;0;72;7;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;109;1000;-7;51;0;107;11;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;2;1000;100;0;0;0;0;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;170;1000;-68;81;0;168;17;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;204;1000;-102;91;0;202;21;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;88;1000;14;47;0;86;9;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;168;1000;-66;79;0;166;17;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;118;1000;-16;54;0;116;12;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;208;1000;-106;95;0;206;21;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;25;1000;77;11;0;23;3;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;67;1000;35;31;0;65;7;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;58;1000;44;29;0;56;7;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;4;1000;98;1;0;2;1;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;124;1000;-22;59;0;122;13;0;1;0;0.0;0.0;
100;10;10;0.0;0;5;50;GAGNE;147;1000;-45;70;0;145;15;0;1;0;0.0;0.0;
